Date,Open,High,Low,Close,Volume,Market Cap
2019-01-01,133.42,141.4,132.65,140.82,2258709868,14665318370
2019-01-02,141.52,156.93,140.65,155.05,3328240369,16150049902
2019-01-03,155.2,155.86,147.2,149.14,2676164880,15536849936
2019-01-04,148.91,156.88,147.91,154.58,3126192535,16107068093
2019-01-05,154.34,160.82,154.34,155.64,3338211928,16219974745
2019-01-06,155.8,159.37,152.09,157.75,3231294371,16442429109
2019-01-07,157.81,158.45,151.15,151.7,2712108388,15814868678
2019-01-08,151.97,153.63,148.67,150.36,2459808140,15677889902
2019-01-09,150.55,153.62,150.29,150.8,2369241197,15726845711
2019-01-10,150.84,152.15,126.53,128.63,3397734456,13416263931
2019-01-11,127.81,130.17,125.24,127.55,2667585234,13306214134
2019-01-12,127.53,128.67,125.45,125.97,2212109224,13143426379
2019-01-13,125.91,126.27,116.09,116.9,2268263944,12199288487
2019-01-14,116.98,130.86,116.97,129.07,2798085735,13471754802
2019-01-15,129.17,130.74,120.31,122.03,2735449164,12739543688
2019-01-16,121.81,127.12,121.44,123.55,2746469340,12899812275
2019-01-17,123.57,124.27,120.82,123.74,2594091285,12922347330
2019-01-18,123.65,123.84,120.24,121.01,2305389800,12639234713
2019-01-19,121.61,125.9,121.16,124.52,3048261797,13007954846
2019-01-20,124.63,125.07,118.7,119.47,2964108269,12483136112
2019-01-21,119.64,119.72,116.16,117.16,2421720343,12242940197
2019-01-22,117.11,119.66,114.68,118.75,2552507405,12410972241
2019-01-23,118.71,119.42,116.38,117.45,2556952198,12277481872
2019-01-24,117.46,118.03,116.01,117.36,2520843420,12269992351
2019-01-25,117.59,117.8,115.83,116.38,2606881898,12168932300
2019-01-26,116.37,118.08,115.98,116.49,2412181169,12182338148
2019-01-27,116.51,116.69,113.41,113.41,2775888287,11861671822
2019-01-28,113.29,113.69,103.34,106.59,3366895505,11150461958
2019-01-29,106.72,107.17,104.0,105.6,2900418606,11048347342
2019-01-30,105.41,109.45,104.84,108.91,2874370355,11396282341
2019-01-31,108.9,110.46,106.53,107.06,2828796031,11204735502
2019-02-01,107.15,108.64,105.05,107.61,2541271519,11263815610
